Timestamp,"16Personalities Quiz. You will need to first take the quiz located at https://www.16personalities.com/. Select your personality letters below. E.g. ENTJ-A, INTP-A, etc.","What is your major? (Please type out your full major name based on USC Catalogue, e.g. 'Computer Science', 'Business Administration')  ",If applicable.  What is your 2nd major? (Please type out the full major name),"What is your minor? (Please type out the full minor name based on USC Catalogue, e.g. 'Applied Analytics') ","If applicable, what is your 2nd minor? (Please type our the full minor name)",Are you in the Progressive Degree Program (PDP)?,What is your graduation year?,What is your class standing?,What is your GPA?,How many units are you taking this semester? Please enter a number.,Are you a transfer student?,Are you an international student?,What is your plan for after graduation?,What industry are you going into or planning on going into after graduation?,What role are you going into or planning on going into after graduation? Please choose the one that best fits.,"On a scale of 1-5, with 5 being the highest, how would you rate your USC academic experience?","On average, how many USC football games do you attend per season?",Are you or have you ever been actively part of a social fraternity/sorority at USC?,Are you or have you ever been actively part of a professional fraternity/sorority at USC?,"Are you or have you ever been actively part of a professional organization or regularly attend/observe professional activities/events?  E.g. LACI, Trojan Marketing, LavaLabs, etc.",Are you or have you ever been actively part of a cultural student organization or regularly attend/observe cultural activities/events?  E.g. Korea Student Association.,Are you or have you ever been actively part of a religious student organization or regularly attend/observe religious activities/events?,Are you part of a sports student organization or regularly participate in organized sports? e.g. Club Soccer,"On a scale of 1-5, with 5 being the highest, how would you rate your USC social experience?","Approximately, what % of your tuition was covered by merit scholarships?",Have you ever held a paid job during any semester at USC?,"During this semester, what percentage of your available time do you spend working (paid or non-paid)?","During this semester, what percentage of your available time do you spend with your friends (online or in-person)?","During this semester, what percentage of your available time do you spend with your family (online or in-person)?",Do you prefer to study alone? (vs. studying in a group),"During this semester, what percentage of your available time do you spend on classwork outside of class?","On a scale of 1-5, with 5 being the highest, how would you rate your overall USC experience?",What is your gender?,What is your age? (Please only enter a number),"Your home country. Please enter the 2-letter country abbreviation. (United States = US, China = CN) You can find the list of abbreviations here: https://www.iban.com/country-codes  ","If your home country is US, what is the zip code of your childhood home? (If the US is not your home country, type in 'N/A') ",Do you consider California your home?,How many languages are you proficient in conversionally?,"What are your primary form(s) of learning about current events? (e.g. what is viral, news, entertainment)",Do you consider yourself someone who loves to travel?,Do you consider yourself a foodie?,Have you prioritized purchasing based on the sustainability of the brand or product?,Do you carry and use a reusable water bottle?,"What percentage of your meals during the semester are purchased from a delivery service (i.e. Uber Eats, Postmates, etc.)?","What percentage of your transportation during the semester was using a ride-sharing service (i.e. Uber, Lyft, etc.)?  Exclude USC's free Lyft program."
4/4/24 15:53,ENTP-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.5,16,No,No,Work,Technology: Software/Internet,Business/Corporate Services,4,4-Jan,No,No,Yes,Yes,No,No,5,75%,Yes,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Male,21,US,61944,Yes,2,"Instagram, X, Tiktok, Youtube, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
4/4/24 16:10,ISTJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.94,16,No,No,Work,Finance: Asset Management,Finance Management,2,4-Jan,No,Yes,Yes,Yes,No,Yes,3,0%,No,≤ 10%,20-30%,≤ 10%,Yes,10-20%,4,Male,20,US,98607,No,1,News Sites (e.g. Wall Street Journal),Yes,No,No,Yes,0%,0%
4/4/24 16:12,INTP-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.87,16,No,No,Work,Finance: Asset Management,Finance Management,4,8+,Yes,No,Yes,No,Yes,No,4,0%,No,≤ 10%,> 50%,≤ 10%,Yes,10-20%,4,Male,21,US,75230,No,1,"Instagram, Tiktok, Google News, News Sites (e.g. Wall Street Journal)",Yes,No,Sometimes,Yes,25%,75%
4/4/24 16:12,INFP-A,Biological Sciences,Data Science,N/A,,Maybe,2026,Sophmore,3.83,16,No,Yes,Graduate School,Technology: Other,Business/Corporate Services,4,0,No,No,Yes,Yes,No,No,5,0%,No,10-20%,10-20%,≤ 10%,Yes,10-20%,5,Male,19,CN,N/A,Yes,2,"Youtube, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,25%
4/4/24 16:13,INTJ-T,Psychology,Data Science,N/A,,No,2024,Senior,3.93,8,No,No,Work,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",3,0,No,No,No,Yes,No,No,2,25%,No,≤ 10%,20-30%,≤ 10%,Yes,20-30%,3,Male,23,KR,N/A,Yes,3,X,Yes,Yes,No,Yes,0%,25%
4/4/24 16:13,ENFJ-A,Business Administration,,Foundations of Data Science,,Yes,2024,Senior,3.7,18,"Yes, from a 4 year college",Yes,Still Deciding,Finance: VC/Private Equities,Finance Management,3,0,No,Yes,Yes,Yes,Yes,No,5,0%,Yes,≤ 10%,> 50%,20-30%,No,20-30%,4,Female,23,CN,N/A,No,3,"Instagram, X, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,100%
4/4/24 16:17,ISFP-T,Economics,,Applied Analytics,,No,2024,Senior,3.54,16,No,No,Still Deciding,Finance: Diversified Financial Services,Finance Management,5,4-Jan,Yes,No,No,No,No,No,3,0%,No,≤ 10%,10-20%,≤ 10%,Yes,≤ 10%,5,Male,23,US,90266,Yes,2,"Instagram, Tiktok, Youtube",Yes,No,No,Yes,25%,0%
4/4/24 16:19,ENFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.63,16,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,5,8-May,Yes,No,Yes,Yes,No,No,5,100%,Yes,10-20%,> 50%,20-30%,No,10-20%,5,Male,21,US,90815,Yes,1,"Instagram, X, Tiktok, TV, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
4/4/24 16:25,INFJ-A,Business Administration,Accounting,Applied Analytics,Mathematical Finance,No,2024,Senior,3.96,19,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,5,0,No,No,Yes,No,No,Yes,4,100%,Yes,≤ 10%,≤ 10%,≤ 10%,Yes,30-40%,5,Female,22,US,94002,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,0%
4/4/24 16:46,ESTP-T,Business Administration,,Enterprise Information Systems,,No,2027,Freshman,3.02,13,No,No,Still Deciding,Technology: Software/Internet,Information and Communications Technology,4,4-Jan,No,Yes,Yes,No,No,No,3,100%,Yes,10-20%,10-20%,≤ 10%,Yes,10-20%,3,Female,19,US,21042,No,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,No,0%,75%
4/4/24 17:16,ISTJ-T,Applied and Computational Mathematics,Economics,Applied Analytics,,No,2024,Senior,3.92,16,No,Yes,Graduate School,Health Care,Science and Technical R&D,4,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,20-30%,≤ 10%,Depends,30-40%,4,Female,22,CN,N/A,No,2,"X, Tiktok, Youtube",Yes,Yes,No,Yes,100%,25%
4/4/24 17:19,ENFJ-A,Business Administration emphasis in Marketing,,Applied Analytics,,No,2024,Senior,3.1,18,"Yes, from a 2 year college",No,Work,Manufacturing,Business/Corporate Services,5,4-Jan,No,No,Yes,Yes,No,No,5,0%,Yes,30-40%,> 50%,30-40%,Depends,30-40%,5,Male,22,US,90501,Yes,1,"Instagram, Tiktok, Youtube",Yes,Yes,Sometimes,No,0%,0%
4/4/24 18:57,ISFJ-A,Business Administration,,Applied Analytics,,Maybe,2026,Sophmore,3.83,20,No,Yes,Graduate School,Other,"Information Services, Statistics, Records, and Archives",4,0,No,No,Yes,No,No,Yes,4,0%,No,≤ 10%,10-20%,≤ 10%,Yes,30-40%,4,Male,19,VN,N/A,No,2,"Instagram, Facebook, X, Tiktok, Youtube",Yes,Yes,Yes,Yes,0%,0%
